"ID","TERM","DESCRIPTION","ATTRIBUTE_TYPE"
1,"Acetal",,"functional_group"
2,"Acetoxy group",,"functional_group"
3,"Acetylide",,"functional_group"
4,"Acid anhydride",,"functional_group"
5,"Activating group",,"functional_group"
6,"Acyl azide",,"functional_group"
7,"Acyl chloride",,"functional_group"
8,"Acyl halide",,"functional_group"
9,"Acylal",,"functional_group"
10,"Acyloin",,"functional_group"
11,"Acylsilane",,"functional_group"
12,"Alcohol",,"functional_group"
13,"Aldehyde",,"functional_group"
14,"Aldimine",,"functional_group"
15,"Alkane",,"functional_group"
16,"Alkene",,"functional_group"
17,"Alkoxide",,"functional_group"
18,"Alkyl cycloalkane",,"functional_group"
19,"Alkyl nitrites",,"functional_group"
20,"Alkyne",,"functional_group"
21,"Allene",,"functional_group"
22,"Amide",,"functional_group"
23,"Amidine",,"functional_group"
24,"Aminal",,"functional_group"
25,"Amine oxide",,"functional_group"
26,"Azide",,"functional_group"
27,"Azine",,"functional_group"
28,"Aziridine",,"functional_group"
29,"Azoxy",,"functional_group"
30,"Bifunctional",,"functional_group"
31,"Bisthiosemicarbazone",,"functional_group"
32,"Biuret",,"functional_group"
33,"Boronic acid",,"functional_group"
34,"Carbamate",,"functional_group"
35,"Carbamino",,"functional_group"
36,"Carbazide",,"functional_group"
37,"Carbene",,"functional_group"
38,"Carbinol",,"functional_group"
39,"Carbonate ester",,"functional_group"
40,"Carbonyl",,"functional_group"
41,"Carboxamide",,"functional_group"
42,"Carboximidate",,"functional_group"
43,"Carboxylic acid",,"functional_group"
44,"Chloroformate",,"functional_group"
45,"Cumulene",,"functional_group"
46,"Cyanate ester",,"functional_group"
47,"Cyanimide",,"functional_group"
48,"Cyanohydrin",,"functional_group"
49,"Deactivating groups",,"functional_group"
50,"Depside",,"functional_group"
51,"Diazo",,"functional_group"
52,"Diol",,"functional_group"
53,"Dithiocarbamate",,"functional_group"
54,"Enamine",,"functional_group"
55,"Enediyne",,"functional_group"
56,"Enol",,"functional_group"
57,"E cont.",,"functional_group"
58,"Enol ether",,"functional_group"
59,"Enone",,"functional_group"
60,"Enyne",,"functional_group"
61,"Episulfide",,"functional_group"
62,"Epoxide",,"functional_group"
63,"Ester",,"functional_group"
64,"Ether",,"functional_group"
65,"Fluorenylidene",,"functional_group"
66,"Fluorosulfonate",,"functional_group"
67,"Halohydrin",,"functional_group"
68,"Haloketone",,"functional_group"
69,"Hemiacetal",,"functional_group"
70,"Hemiaminal",,"functional_group"
71,"Hemithioacetal",,"functional_group"
72,"Hydrazide",,"functional_group"
73,"Hydrazone",,"functional_group"
74,"Hydroxamic acid",,"functional_group"
75,"Hydroxyl",,"functional_group"
76,"Hydroxylamine",,"functional_group"
77,"Imine",,"functional_group"
78,"Iminium",,"functional_group"
79,"Isothiouronium",,"functional_group"
80,"Ketene",,"functional_group"
81,"Ketenimine",,"functional_group"
82,"Ketone",,"functional_group"
83,"Ketyl",,"functional_group"
84,"Lactam",,"functional_group"
85,"Lactol",,"functional_group"
86,"Lactone",,"functional_group"
87,"Methine group",,"functional_group"
88,"Methyl group",,"functional_group"
89,"Nitrate",,"functional_group"
90,"Nitrate ester",,"functional_group"
91,"Nitrile ylide",,"functional_group"
92,"Nitrilimine",,"functional_group"
93,"Nitro compound",,"functional_group"
94,"Nitroamine",,"functional_group"
95,"Nitronate",,"functional_group"
96,"Nitrone",,"functional_group"
97,"Nitronium ion",,"functional_group"
98,"Nitrosamine",,"functional_group"
99,"Nitroso",,"functional_group"
100,"Orthoester",,"functional_group"
101,"Osazone",,"functional_group"
102,"Oxaziridine",,"functional_group"
103,"Oxime",,"functional_group"
104,"N-Oxoammonium salt",,"functional_group"
105,"Peroxide",,"functional_group"
106,"Peroxy acid",,"functional_group"
107,"Persistent carbene",,"functional_group"
108,"Phenols",,"functional_group"
109,"Phosphaalkene",,"functional_group"
110,"Phosphaalkyne",,"functional_group"
111,"Phosphate",,"functional_group"
112,"Phosphinate",,"functional_group"
113,"Phosphine",,"functional_group"
114,"Phosphine oxide",,"functional_group"
115,"P cont.",,"functional_group"
116,"Phosphinite",,"functional_group"
117,"Phosphonate",,"functional_group"
118,"Phosphonite",,"functional_group"
119,"Phosphonium",,"functional_group"
120,"Phosphorane",,"functional_group"
121,"S-Nitrosothiol",,"functional_group"
122,"Schiff base",,"functional_group"
123,"Selenenic acid",,"functional_group"
124,"Selenol",,"functional_group"
125,"Selenonic acid",,"functional_group"
126,"Selone",,"functional_group"
127,"Semicarbazide",,"functional_group"
128,"Semicarbazone",,"functional_group"
129,"Silanylidene group",,"functional_group"
130,"Silyl enol ether",,"functional_group"
131,"Silyl ether",,"functional_group"
132,"Sulfenamide",,"functional_group"
133,"Sulfenic acid",,"functional_group"
134,"Sulfenyl chloride",,"functional_group"
135,"Sulfide",,"functional_group"
136,"Sulfilimine",,"functional_group"
137,"Sulfinamide",,"functional_group"
138,"Sulfinic acid",,"functional_group"
139,"Sulfite ester",,"functional_group"
140,"Sulfonamide (chemistry)",,"functional_group"
141,"Sulfonanilide",,"functional_group"
142,"Sulfonate",,"functional_group"
143,"Sulfonyl",,"functional_group"
144,"Sulfonyl halide",,"functional_group"
145,"Sulfoxide",,"functional_group"
146,"Sulfuryl",,"functional_group"
147,"Sultone",,"functional_group"
148,"Tellurol",,"functional_group"
149,"Thial",,"functional_group"
150,"Thioacetal",,"functional_group"
151,"Thioamide",,"functional_group"
152,"Thiocarbamate",,"functional_group"
153,"Thiocarboxy",,"functional_group"
154,"Thiocyanate",,"functional_group"
155,"Thioester",,"functional_group"
156,"Thioether",,"functional_group"
157,"Thioketal",,"functional_group"
158,"Thioketone",,"functional_group"
159,"Thiol",,"functional_group"
160,"Thiolactone",,"functional_group"
161,"Thiourea",,"functional_group"
162,"Tosylhydrazone",,"functional_group"
163,"Triazene",,"functional_group"
164,"Triol",,"functional_group"
165,"Urea",,"functional_group"
166,"Vanillyl group",,"functional_group"
167,"Vinylidene group",,"functional_group"
168,"Xanthate",,"functional_group"
169,"Ylide",,"functional_group"
170,"Ynolate",,"functional_group"
